MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
39.7,91.18,59.31,30,87,56,0,122,88,33.33,41.97,33.83,73.99,33.35,72,94,133.39,62.82,36.11,32.53,21.24,16.55,145.26,62.16,34.51,42,100,49.02,7.01,6.53,7.2,6.98,N
172.72,172.62,159.36,183,180,165,221,218,154,44.44,39.84,37.41,169.05,37.51,176,214,75.54,10.67,69.79,70.92,11.03,15.4,49.41,8.2,72.94,49.41,7.69,86.67,7.11,7.23,7.19,7.06,H
31.42,118.56,213.95,31,114,95,32,76,255,8.31,32.8,33.93,136.8,26.16,8,138,211.84,85.17,84.7,10.73,4.35,11.1,213.86,85.64,87.45,220,83.33,100,6.7,4.95,6.88,6.62,I
24.16,40.58,32.8,23,36,31,20,28,28,9.31,23.8,9.35,34.95,10.4,33,26,161.58,37.24,15.95,14.97,12.6,9.31,162.86,34.38,14.12,180,33.33,10.98,5.19,5.08,5.48,5.02,N
33.43,73.9,55.73,31,67,52,0,51,47,21.5,38.05,27.46,61.87,27.69,58,54,155.35,54.9,29.01,18,20.75,14.9,157.89,51.85,26.27,160,100,20,6.74,6.26,6.96,6.73,N
25.3,59.83,162.71,26,55,164,25,46,143,8.15,31.36,40.68,85.23,16.32,86,87,224.86,83.81,65.75,17.39,6.93,13.98,228.4,84.3,65.88,217.14,98.74,56.08,6.06,5.01,6.05,7.12,I
13.87,59.4,52.98,11,53,49,0,65,55,13.95,37.33,29.5,50.3,27.18,47,38,175.96,76.92,23.61,14.81,20.55,14.65,176.67,78.83,21.18,180,100,25.49,6.71,4.97,6.91,6.81,N
2.36,111.28,246.66,2,101,125,0,93,255,2.63,31.06,30.08,139.64,15.91,7,131,212.7,99.06,98.04,12.67,1.04,4.43,216.33,99.21,99.22,218.01,100,100,5.82,2.92,6.55,3.46,I
34.48,49.99,67.18,32,44,64,28,41,63,14.26,29.95,25.24,50.66,14.58,48,43,217.1,48.46,28.39,34.07,17.81,12.92,219.71,47.76,25.88,210,50,24.71,5.79,5.53,5.7,6.52,N
226.85,232.66,216.24,231,233,220,236,232,221,26.33,4.29,24.68,228.59,3.24,229,229,73.3,7.59,91.84,28.16,10.64,1.82,60,5.56,91.76,49.41,5.56,91.76,3.66,4.72,3.82,4.03,H
50.99,49.76,62.76,52,45,59,50,46,59,7.17,25.14,19.74,52.31,10.19,50,46,274.02,28.94,26.66,42.61,13.6,10.75,268.24,25,23.53,307.5,20,19.61,5.26,4.2,4.97,6.12,H
14.13,27.1,40.58,14,22,37,14,21,36,2.43,27.46,11.8,27.58,5.01,26,25,217.88,64.64,17.61,16.11,8.19,10.51,220.91,61.11,14.9,220.91,61.11,14.12,3.35,2.79,3.35,4.17,H
231.23,222.35,196.45,234,224,200,236,224,200,18.85,7.92,18.44,216.11,7.76,218,218,42.66,15.75,91.45,9.26,7.34,1.93,42,15.04,91.76,40,14.53,92.55,4.81,4.15,4.78,5.27,H
171.56,178.4,195.35,177,177,201,173,174,207,30.86,18.97,28.57,184.62,11.49,183,175,238.5,15.3,78.94,25.41,14.37,4.58,246,9.9,79.22,251.25,35.23,81.18,5.45,6.15,5.92,5.27,H
122.55,128.86,119.63,122,127,122,107,121,112,39.54,35.35,30.07,124.6,29.79,124,120,107.4,11.03,52.09,89.14,15.3,13.97,75,7.34,50.2,0,0,47.45,6.88,7.22,7.03,6.73,H
46.59,66.36,30.14,44,59,27,42,53,21,14.12,32.72,16.89,51.18,18.48,48,42,87.1,55.26,26.21,18.78,14.84,12.64,89.03,53.33,23.14,80,50,20.78,6.11,5.48,6.41,5.98,N
