MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
103,109.55,106.98,104,107,108,97,97,97,30.85,31.72,25.74,106.96,23.53,107,98,174.63,11.83,45.41,110.2,15.77,11.68,217.5,7.41,44.31,0,0,49.02,6.54,6.87,6.7,6.47,H
60.11,191.4,242.08,51,84,125,0,255,255,60.06,59.67,35.84,193.18,44.18,78,245,193.46,76.29,97.17,19.3,23.52,5.38,192.595,80,99.61,180,100,100,7.17,6.79,7.05,3.99,I
25.82,68.34,43.18,19,52,30,0,73,0,24.8,51.18,39.67,52.92,40.58,39,22,136.8,63.34,26.86,28.34,23.64,20.03,142.17,63.08,20.39,120,100,28.63,6.95,6.05,7.21,6.8,N
224.36,207.04,170.96,227,206,174,227,202,178,19.45,11,23.81,198.51,12.71,199,195,38.88,24.6,88.73,8.51,8.72,3.16,37.38,23.18,89.02,40,21.59,89.02,5.64,5.03,5.39,6.28,H
61.85,96.26,77.05,53,87,72,56,255,77,44.91,44.4,41.43,85.88,41,78,83,134.04,41.8,38.03,44.27,17.47,17.3,155.38,42.86,34.12,156.92,50,100,6.38,6.42,6.52,6.58,N
55.09,69.09,60.79,56,66,61,69,66,58,12.35,26.81,14.49,61.34,12.1,62,63,152.44,15.63,27.1,18.93,14.52,10.51,156,12.16,25.88,156,24.18,25.88,5.63,5.43,5.81,5.66,N
124.52,130.92,127.82,118,124,1,101,109,129,31.06,26.65,21.61,128.98,18.95,124,115,133.45,13.23,54.63,93.35,13.82,9.72,202.5,10.45,51.76,30,10.71,50.98,6,6.41,6.22,5.75,H
134.2,131.57,117.68,137,132,120,138,137,120,31.36,25.29,19.78,127.17,20.62,129,130,67.31,14.34,54.52,67.39,12.53,11.12,37.78,13.29,54.12,0,0,54.12,6.37,6.87,6.52,5.98,H
26.78,99.8,81.85,19,93,76,0,70,36,30.24,51.08,47.34,85.06,45.4,79,78,162.18,76.45,39.18,18.92,19.61,20.1,166.92,77.985,36.47,170,100,27.45,7.43,5.87,7.59,7.48,N
53.27,48.05,44.86,52,48,45,51,49,46,9.3,7.22,4.53,47.67,6.37,48,49,71.41,15.89,20.98,113.51,8.15,3.6,27.27,15.79,20.39,27.27,0,20,4.59,5.05,4.74,4.16,H
69.84,220.45,159.78,72,97,41,78,220,167,30.72,21.6,37.21,186.55,25.11,65,199,156.35,69.12,86.45,6.5,11.99,8.47,157.66,68.58,88.24,157.61,64.55,86.27,6.55,6.91,6.28,6.93,N
46.69,87,69.1,44,85,69,20,34,23,26.82,44.14,38.07,76.76,38.37,76,35,150.46,45.98,34.16,22.64,17.33,17.31,155.71,45.76,33.33,150,50,13.33,7.16,6.66,7.31,7.15,N
46.42,114.17,89.7,46,115,93,0,112,93,28.39,39.62,37.08,97.34,35.17,100,101,159.1,61.87,44.77,10.43,17.47,15.54,161.45,58.56,45.1,158.71,100,43.92,7.12,6.66,7.22,7.16,N
51.28,110,70.27,47,106,65,30,65,48,28.66,47.28,38.27,90.43,39.9,87,54,136.68,54.4,43.15,13.31,12.46,18.57,138,52.63,41.57,140,50,25.49,7.26,6.68,7.48,7.19,N
179.8,184.83,181.15,56,59,58,186,189,187,17.54,14.02,20.52,183.53,13.34,59,188,145.56,3.67,72.75,44.91,8.1,5.17,140,2.59,73.73,140,1.6,74.12,4.7,4.5,4.63,5.01,H
91.06,77.27,66.05,99,80,68,117,102,82,31.32,32.12,19.8,74.29,23.64,78,99,75.6,32.63,37.83,110.99,11.71,12.91,26.47,30.43,40,27.57,33.33,45.88,6.32,6.65,6.53,6.02,H
36.48,63.58,55.82,32,57,49,29,53,41,18.55,33.87,29.22,57.37,27.21,52,45,154.35,37.91,25.23,41.68,21.3,13.31,161.86,35,22.35,160,33.33,19.61,6.61,6.02,6.78,6.69,N
32.38,47.92,81.84,32,45,83,32,44,84,6.49,23.13,11.25,54.81,4.78,55,55,223.62,61.07,33.46,15.02,7.67,7.4,226.15,60.53,32.55,225,66.67,32.94,4.3,4.58,4.43,4.94,H
169.16,169.15,170.9,173,169,175,174,172,182,23.51,13.59,24.57,170.28,7.12,171,175,247.13,8.83,70.41,82.68,12.9,4.82,261.82,6.04,69.8,234.55,6.04,71.37,4.72,5.01,4.98,5.28,H
22.72,71.17,61.48,21,65,59,0,44,53,17.28,36.87,27.92,60.23,24.85,58,45,172,67.45,28.01,18.39,19.86,14.42,173.79,67.39,25.88,180,100,20.78,6.63,5.71,6.87,6.77,N
16.24,37.53,34.18,13,31,30,0,37,35,14.81,33.24,23.52,31.79,21.93,28,0,179.73,60.14,15.38,27.91,23.99,13.17,180,56.88,12.94,180,100,14.51,6.28,5.39,6.43,6.38,N
